            0         1         2         3         4         5         6         7         8         9        10        11        12        13        14        15        16        17        18        19        20        21        22        23        24        25        26        27        28        29        30        31        32        33        34        35        36        37        38        39        40        41        42        43        44        45        46        47        48        49        50        51        52        53        54        55        56        57        58        59        60        61        62        63        64        65        66        67        68        69        70        71        72        73        74        75        76        77        78        79        80        81        82        83        84        85        86        87        88        89        90        91        92        93        94        95        96        97        98        99       100       101       102       103       104       105       106       107       108       109       110       111       112       113       114       115       116       117       118       119       120       121       122       123       124       125       126       127       128       129       130       131       132       133       134       135       136       137       138       139       140       141       142       143       144       145       146       147       148       149       150       151       152       153       154       155       156       157       158       159       160       161       162       163       164       165       166       167       168       169       170
0    1.000000  0.070467  0.096449  0.043337  0.057911  0.036510  0.068862  0.831710  0.973258  0.416968  0.874970  0.029070  0.028068  0.057874  0.026267  0.261523  0.990716  0.845938  0.621040  0.057692  0.091606  0.251600  0.176054  0.011762  0.219274  0.019953  0.022431  0.251371  0.175896  0.011767  0.219073  0.020012  0.022469  0.335429  0.350518  0.134576  0.344403 -0.017364 -0.015540  0.132222  0.126175  0.004220  0.128885 -0.003878 -0.002835  0.135574  0.138334  0.011618  0.136685 -0.004232 -0.003222  0.113478  0.094322 -0.022057  0.108679 -0.001912 -0.001391  0.078896  0.151593  0.045207  0.039135  0.033540  0.049194  0.078434  0.151427  0.045167  0.038975  0.033574  0.048870  0.148110  0.281517  0.203903  0.184941  0.031444  0.023366  0.016857  0.110054  0.057575  0.045824  0.038967  0.026800  0.016035  0.129468  0.071938  0.058469  0.038588  0.026032  0.019730  0.117237  0.042024  0.055107  0.017586  0.015461  0.249192  0.290419  0.136679  0.267874  0.025076  0.025712  0.057304  0.057210 -0.014004  0.057697 -0.007721 -0.008161 -0.017319  0.003601  0.016441 -0.013665  0.001053  0.002114  0.065020  0.060999 -0.024452  0.067417  0.002324  0.002708  0.016977  0.072796  0.083757  0.046813 -0.002747 -0.002283 -0.027169 -0.015982 -0.002692 -0.022395 -0.000881  0.000195  0.217571  0.312461  0.164836  0.165593  0.055393  0.060715  0.051903  0.070875 -0.003139  0.045555 -0.025354 -0.031886 -0.029225  0.143232  0.055272  0.025134  0.001093  0.004909 -0.051848  0.088982  0.043800  0.042463  0.011959  0.012088 -0.043627  0.101139  0.033499 -0.009141 -0.014105 -0.016306  0.001024  0.198126  0.174860  0.112756  0.019908  0.018993  1.000000  0.073003  0.057911  0.043337  0.073062  0.056732
1    0.070467  1.000000  0.256674  0.619842  0.031338  0.636125  0.169551  0.003085  0.032658  0.022310  0.004874  0.046411  0.092272  0.031322  0.008610  0.160819  0.065134  0.019342  0.109337  0.010018  0.010952 -0.018388  0.001702 -0.020876 -0.029264  0.015370  0.028947 -0.018405  0.001650 -0.020886 -0.029280  0.015374  0.028947  0.016734  0.103826  0.127523  0.019736 -0.011963 -0.012091 -0.049559 -0.032112 -0.011626 -0.052156 -0.005077 -0.003563 -0.050407 -0.045752 -0.021432 -0.053836 -0.006184 -0.004176 -0.094020  0.065042  0.047652 -0.067270 -0.016885 -0.019556  0.200129  0.032363 -0.040004  0.008483 -0.022371 -0.023886  0.200161  0.032261 -0.040058  0.008441 -0.022563 -0.024207  0.061960  0.116315  0.062011  0.048855 -0.030562 -0.035124  0.118483 -0.023455 -0.058566 -0.047052 -0.029682 -0.035551  0.118498 -0.040085 -0.067532 -0.051166 -0.031224 -0.037166  0.038125  0.026461 -0.060329 -0.025842 -0.036750 -0.041771 -0.013791  0.135082  0.076139 -0.003578  0.022500  0.031296  0.175927  0.190530  0.004831  0.188120  0.008108  0.002899  0.005560  0.297272  0.222618  0.055717 -0.001386  0.003148 -0.020924  0.218295  0.126488  0.147120  0.001906  0.002605 -0.005851  0.330574  0.153101  0.024255 -0.000945  0.003686 -0.024889  0.026771  0.011174 -0.017956 -0.004378 -0.001312  0.122965  0.075383  0.022977  0.038873  0.016426  0.017834  0.167937  0.170653  0.012506  0.162577  0.004960  0.004994  0.057301  0.205440  0.133860  0.136593  0.026137  0.026685  0.082071  0.145857 -0.008283  0.151378  0.029240  0.029687 -0.019979  0.109924  0.051049  0.024679  0.027826  0.028703  0.065927  0.043506  0.029519  0.058441 -0.003762 -0.004203  0.070467  0.480655  0.031338  0.619842  0.480537  0.190681
2    0.096449  0.256674  1.000000  0.150358  0.011806  0.156058  0.021965  0.088976  0.089420  0.012989  0.088869  0.305847  0.311597  0.011806 -0.002528  0.024531  0.097111  0.082681  0.062514  0.118742  0.127175 -0.093809 -0.196995 -0.195148 -0.175217  0.109524  0.112890 -0.093873 -0.197046 -0.195149 -0.175277  0.109787  0.113212  0.059783  0.077797  0.044846  0.061664 -0.036030 -0.036627  0.103381  0.041124 -0.139033  0.068444 -0.016725 -0.025621  0.101452  0.050810 -0.181371  0.075158 -0.014462 -0.022994 -0.189917 -0.193000 -0.147223 -0.238180 -0.095527 -0.101269 -0.011980 -0.254549 -0.302392 -0.302898 -0.105975 -0.100554 -0.012008 -0.254625 -0.302416 -0.302929 -0.106198 -0.100986  0.001781  0.068659  0.034704  0.023343 -0.234117 -0.238174 -0.044785 -0.005130 -0.027534 -0.042021 -0.172462 -0.177510 -0.034284  0.009064 -0.012657 -0.025636 -0.175653 -0.181018 -0.144208 -0.293349 -0.345383 -0.355787 -0.179076 -0.185715  0.032460  0.037458 -0.046801  0.011860  0.122191  0.130276  0.537979  0.582222  0.025526  0.574672  0.068925  0.070972  0.140176  0.230331  0.142921  0.169815  0.016471  0.018195  0.550349  0.652089  0.033376  0.666424  0.049843  0.050473  0.043124  0.153365  0.104158  0.069741  0.016150  0.018125 -0.026363 -0.059696 -0.090887 -0.070706 -0.020352 -0.017244  0.004501  0.042932  0.001287 -0.008862  0.087690  0.091571  0.530826  0.507143  0.086551  0.528032  0.019398  0.013236  0.128711  0.296926  0.249192  0.274194  0.083206  0.083284  0.587314  0.547546 -0.131580  0.675560  0.160596  0.160282  0.060776  0.178971  0.095747  0.122620  0.077075  0.076116 -0.003567  0.039663  0.046956  0.067433 -0.053011 -0.055025  0.096449  0.129413  0.011806  0.150358  0.129120  0.583213
3    0.043337  0.619842  0.150358  1.000000  0.005967  0.985764  0.322460 -0.026775  0.000338  0.009511 -0.026662  0.046692  0.076128  0.005948  0.017634  0.148727  0.041533  0.021987  0.113200 -0.005882 -0.008058 -0.043143 -0.022264 -0.015541 -0.045846  0.011558  0.017408 -0.043143 -0.022283 -0.015547 -0.045847  0.011587  0.017434 -0.008596  0.033499  0.056409 -0.007395 -0.005939 -0.006711 -0.061135 -0.048052 -0.008779 -0.061269 -0.004919 -0.006955 -0.061758 -0.058708 -0.017230 -0.064095 -0.005235 -0.006599 -0.104453  0.099746  0.089937 -0.050234 -0.013423 -0.015994  0.158625 -0.000794 -0.037297  0.006920 -0.025350 -0.027497  0.158658 -0.000853 -0.037340  0.006882 -0.025474 -0.027658  0.035216  0.064928  0.047541  0.043351 -0.037510 -0.038488  0.140611 -0.040395 -0.059021 -0.039127 -0.030267 -0.032894  0.139479 -0.052235 -0.067655 -0.044044 -0.032147 -0.034874  0.093816  0.001060 -0.062300  0.006741 -0.034587 -0.036606 -0.025707  0.142150  0.089371 -0.010712  0.012827  0.020141 -0.007714  0.010860  0.049485  0.007140  0.003915  0.001943 -0.036340  0.201319  0.170484  0.004490 -0.001375  0.001725 -0.143460  0.161033  0.202428  0.030015  0.002698  0.003016 -0.024704  0.356798  0.142536  0.002864  0.005790  0.010346 -0.022041  0.109916  0.065771  0.006481 -0.013915 -0.010621  0.162696  0.043495  0.018081  0.050811  0.004221  0.004604  0.006868  0.008208 -0.013070  0.003262  0.007842  0.007704  0.022002  0.045450  0.022124  0.024300  0.017722  0.017831  0.054974  0.049855 -0.031486  0.065527  0.018410  0.018780 -0.015014  0.033927  0.016498  0.001159  0.027353  0.028067  0.064439  0.027312  0.025197  0.050435 -0.008930 -0.009590  0.043337  0.734509  0.005967  1.000000  0.734440  0.010769
4    0.057911  0.031338  0.011806  0.005967  1.000000  0.006299  0.000884  0.066742  0.060950  0.006378  0.066909  0.012471  0.015697  1.000000  0.013356 -0.002891  0.013153  0.000660 -0.005648 -0.003799 -0.016838  0.015104  0.006138 -0.005869  0.009789  0.005045  0.006535  0.015097  0.006131 -0.005869  0.009782  0.005049  0.006542  0.011006  0.014719  0.011640  0.011615 -0.002954 -0.003156 -0.007820 -0.008387 -0.004460 -0.008671  0.000011 -0.000937 -0.008038 -0.009094 -0.005751 -0.008865 -0.000055 -0.000704  0.034697  0.038135  0.003240  0.037664 -0.002681 -0.003253 -0.003893 -0.002453 -0.010315 -0.012887 -0.007029 -0.011889 -0.003893 -0.002461 -0.010317 -0.012887 -0.007006 -0.011850 -0.001115  0.024655  0.002011 -0.000255 -0.009694 -0.008173 -0.005376 -0.009403 -0.014681 -0.016558 -0.010921 -0.012800 -0.004752 -0.010629 -0.015643 -0.017528 -0.012230 -0.014050 -0.015141  0.090712  0.006954  0.025770 -0.007845 -0.008312  0.054493  0.039054  0.000303  0.052947  0.007632  0.009362 -0.008312 -0.008551  0.001525 -0.008487 -0.000799 -0.000313 -0.003858  0.000500  0.003081 -0.003187  0.007527  0.006082 -0.021835 -0.004175  0.014873 -0.013045  0.005851  0.005931  0.020230  0.019812  0.010158  0.022283  0.001134  0.001804 -0.002872 -0.001732 -0.001427 -0.003717  0.008146  0.006313 -0.007555  0.102359  0.009247 -0.001171  0.002802  0.000030 -0.007659  0.098480  0.079254  0.008850  0.005730  0.007178 -0.012325  0.100567  0.012549  0.005271  0.003826  0.004172 -0.049639  0.050591  0.025934  0.007389  0.006782  0.006374 -0.013122  0.127603  0.036152  0.028923  0.004284  0.004591 -0.007602  0.112179  0.017768  0.000311 -0.001767 -0.002751  0.057911  0.672609  1.000000  0.005967  0.672825 -0.008657
5    0.036510  0.636125  0.156058  0.985764  0.006299  1.000000  0.202844 -0.027413 -0.002624  0.007464 -0.027476  0.043805  0.075587  0.006282  0.013214  0.135158  0.034829  0.015616  0.099530 -0.005243 -0.007520 -0.044891 -0.022372 -0.015354 -0.047615  0.011474  0.018034 -0.044891 -0.022391 -0.015360 -0.047615  0.011506  0.018063 -0.009633  0.035480  0.056171 -0.008809 -0.006427 -0.007258 -0.063364 -0.050930 -0.010402 -0.064979 -0.004741 -0.006766 -0.063762 -0.060856 -0.018060 -0.066630 -0.005113 -0.006636 -0.108857  0.095401  0.090368 -0.056583 -0.013141 -0.015989  0.157737  0.000824 -0.036972  0.006540 -0.024577 -0.026870  0.157771  0.000762 -0.037016  0.006503 -0.024720 -0.027045  0.035152  0.067622  0.048131  0.043301 -0.037002 -0.038143  0.144521 -0.041880 -0.061672 -0.041372 -0.030679 -0.033548  0.143890 -0.053566 -0.069775 -0.045485 -0.032633 -0.035614  0.080736 -0.000859 -0.061997 -0.001230 -0.035996 -0.038190 -0.026086  0.141510  0.089955 -0.011087  0.012834  0.020280 -0.004326  0.015802  0.053438  0.011805  0.003100  0.000680 -0.037233  0.199726  0.168412  0.002769 -0.001626  0.001253 -0.143326  0.164704  0.205887  0.034317  0.002842  0.003068 -0.025147  0.359277  0.145405  0.003275  0.005803  0.010282 -0.021614  0.104657  0.064367  0.006780 -0.013339 -0.010141  0.152153  0.043266  0.017977  0.048115  0.003998  0.004503  0.010992  0.012906 -0.011211  0.007567  0.006552  0.006374  0.024640  0.052490  0.027035  0.029424  0.017557  0.017726  0.057648  0.056467 -0.029645  0.071634  0.018653  0.019059 -0.013764  0.040159  0.020935  0.005213  0.028033  0.028745  0.057507  0.016810  0.015914  0.042597 -0.008364 -0.009107  0.036510  0.722796  0.006299  0.985764  0.722701  0.015740
6    0.068862  0.169551  0.021965  0.322460  0.000884  0.202844  1.000000 -0.010156  0.032224  0.030966 -0.008013  0.029619  0.032944  0.000837  0.066395  0.138344  0.062632  0.046160  0.121518 -0.012958 -0.014469 -0.007600 -0.006219 -0.008336 -0.008743  0.000067  0.000067 -0.007605 -0.006226 -0.008340 -0.008749  0.000047  0.000044  0.005594  0.012837  0.031315  0.008193 -0.001701 -0.001804 -0.014419  0.002774  0.012608  0.000569 -0.010952 -0.011810 -0.017175 -0.012491  0.000094 -0.013391 -0.011177 -0.010781 -0.014805  0.061145  0.031235  0.021191 -0.016453 -0.016594  0.157508  0.005056 -0.018784  0.027894 -0.021614 -0.022011  0.157523  0.005048 -0.018788  0.027885 -0.021573 -0.022029  0.023516  0.011287  0.010607  0.011767 -0.013773 -0.013454  0.046676 -0.001486 -0.005291  0.001594 -0.015528 -0.016323  0.038205 -0.013674 -0.017049 -0.010544 -0.016214 -0.016995  0.107733  0.019575 -0.023471  0.048648 -0.007527 -0.007255 -0.010908  0.045244  0.025730 -0.005494  0.006490  0.008389 -0.022207 -0.020371  0.007620 -0.021110  0.015601  0.017476 -0.013553  0.068465  0.068948  0.006176  0.002408  0.003381 -0.061773  0.041003  0.064473 -0.012114  0.000422  0.001229 -0.010038  0.098116  0.041834 -0.000657  0.005977  0.007305 -0.012582  0.042836  0.019170 -0.000690 -0.011387 -0.010112  0.116525  0.021069  0.004158  0.028692  0.002114  0.001497 -0.018267 -0.018757 -0.012995 -0.020553  0.012906  0.012664  0.000587 -0.009746 -0.013607 -0.012761  0.010068  0.009855  0.000617 -0.015804 -0.023395 -0.009631  0.011268  0.011270 -0.012662 -0.012827 -0.016232 -0.020541  0.010866  0.011334  0.106296  0.130491  0.116918  0.114191 -0.007134 -0.006895  0.068862  0.243091  0.000884  0.322460  0.243126 -0.020422
7    0.831710  0.003085  0.088976 -0.026775  0.066742 -0.027413 -0.010156  1.000000  0.866582 -0.003354  0.987411  0.017761  0.013629  0.066735  0.006751  0.074539  0.847332  0.717074  0.419289  0.062990  0.100513  0.272926  0.154052 -0.023254  0.219818  0.014690  0.013890  0.272757  0.153929 -0.023254  0.219662  0.014721  0.013919  0.275344  0.263866 -0.002653  0.274508 -0.000316 -0.000305  0.171953  0.146630 -0.022093  0.161505  0.010394  0.012336  0.177663  0.163944 -0.028599  0.172644  0.010283  0.012142  0.128685  0.052934 -0.069623  0.100836  0.001912  0.003121 -0.001414  0.125418  0.032802  0.004723  0.036018  0.053706 -0.001604  0.125280  0.032747  0.004634  0.036046  0.053366  0.044160  0.204340  0.126918  0.102867  0.026277  0.016617 -0.009794  0.127863  0.077423  0.060924  0.038518  0.029081 -0.008406  0.152567  0.095788  0.076957  0.038133  0.027863  0.000583  0.094963  0.037806  0.036597  0.019641  0.018155  0.301126  0.187597 -0.025971  0.287659  0.009806  0.008444  0.061463  0.060973 -0.016605  0.061602 -0.002827 -0.002515 -0.009669 -0.030084 -0.031272 -0.017530 -0.002767 -0.002674  0.109247  0.043702 -0.079625  0.081513 -0.003950 -0.003964  0.027737 -0.011405 -0.025058  0.016543 -0.007933 -0.008659 -0.022811 -0.038327 -0.026656 -0.032638  0.001120  0.000925  0.078709  0.243095  0.120579  0.096210  0.060329  0.066884  0.055361  0.069332 -0.005335  0.049167 -0.031654 -0.037360 -0.031093  0.142188  0.059874  0.028354 -0.002551  0.000997 -0.042921  0.084863  0.041847  0.044558  0.013467  0.013604 -0.039955  0.090700  0.033002 -0.006727 -0.020028 -0.023050 -0.011191  0.044557  0.033103  0.018230  0.023130  0.021475  0.831710  0.023735  0.066742 -0.026775  0.023788  0.060549
8    0.973258  0.032658  0.089420  0.000338  0.060950 -0.002624  0.032224  0.866582  1.000000  0.419673  0.909377  0.028469  0.026828  0.060913  0.027187  0.108734  0.976321  0.835173  0.502478  0.061946  0.098142  0.257951  0.173691  0.008270  0.221847  0.020596  0.022590  0.257792  0.173581  0.008279  0.221707  0.020655  0.022628  0.246283  0.253646  0.092269  0.252224 -0.016152 -0.014236  0.144297  0.134752  0.002056  0.139429 -0.002632 -0.001635  0.148285  0.148859  0.009105  0.148339 -0.003244 -0.002261  0.121514  0.085056 -0.031767  0.110013 -0.000458  0.000050  0.024304  0.145332  0.043449  0.020614  0.036948  0.053622  0.024143  0.145193  0.043392  0.020529  0.036980  0.053280  0.042133  0.204984  0.123620  0.098267  0.031538  0.023022 -0.002937  0.116758  0.064101  0.048825  0.041096  0.028761 -0.002699  0.138249  0.079910  0.062491  0.040967  0.028163  0.006569  0.116570  0.045984  0.050314  0.019477  0.017394  0.259543  0.272815  0.117247  0.273513  0.024350  0.025424  0.058062  0.057091 -0.017253  0.057800 -0.006530 -0.006880 -0.015129 -0.011099  0.003359 -0.014310  0.002742  0.002974  0.079522  0.052067 -0.041529  0.069517  0.002957  0.003248  0.019622  0.044865  0.065048  0.044219 -0.000936 -0.000814 -0.026046 -0.020569 -0.004516 -0.021461 -0.000225  0.000408  0.103891  0.298398  0.154952  0.128800  0.059438  0.065133  0.051854  0.071837 -0.000911  0.045959 -0.029441 -0.036310 -0.030812  0.147804  0.058309  0.026932 -0.000314  0.003673 -0.056379  0.089709  0.047856  0.041024  0.010150  0.010279 -0.042736  0.104921  0.036256 -0.006706 -0.017170 -0.019697 -0.007840  0.162646  0.141507  0.087361  0.022007  0.020894  0.973258  0.042530  0.060950  0.000338  0.042587  0.056592
9    0.416968  0.022310  0.012989  0.009511  0.006378  0.007464  0.030966 -0.003354  0.419673  1.000000  0.148725  0.029026  0.030984  0.006346  0.021933  0.051835  0.401842  0.335887  0.206195  0.015014  0.029172  0.071838  0.115481  0.089682  0.104265  0.019436  0.021762  0.071801  0.115478  0.089710  0.104249  0.019530  0.021827  0.020217  0.062608  0.288495  0.041458 -0.046886 -0.044698 -0.004066  0.024748  0.064320  0.009151 -0.037712 -0.039975 -0.005841  0.025672  0.104870  0.008512 -0.039251 -0.041535  0.039110  0.081076  0.065937  0.063619  0.002267  0.000849  0.045178  0.086391  0.043196  0.045260  0.016182  0.022459  0.045186  0.086356  0.043180  0.045252  0.016198  0.022394  0.002906  0.053318  0.021206  0.011540  0.025458  0.023686  0.003633  0.020213  0.000054 -0.002971  0.022949  0.016425  0.001004  0.023267  0.001183 -0.002673  0.024749  0.018729  0.014116  0.078402  0.040147  0.047755  0.014455  0.013731 -0.001189  0.166697  0.275746  0.058661  0.039076  0.040505  0.000759 -0.000991 -0.005414 -0.000586 -0.026375 -0.027045 -0.012981  0.023238  0.074652  0.006405  0.016846  0.016874 -0.018756  0.014280  0.044388 -0.002727  0.018353  0.019087 -0.008428  0.118421  0.245788  0.094936  0.018847  0.019043 -0.013165  0.017197  0.036001  0.008036 -0.012277 -0.010632  0.038480  0.155999  0.092989  0.079050  0.013314  0.015800 -0.000845  0.014842  0.004200 -0.002115 -0.009654 -0.012304 -0.015221  0.050312  0.010874  0.000454 -0.000587  0.000918 -0.052075  0.023470  0.028508 -0.007110 -0.008202 -0.008245 -0.019789  0.048925  0.011175 -0.007690 -0.004339 -0.004906 -0.002063  0.120854  0.107227  0.066809  0.005417  0.005791  0.416968  0.013326  0.006378  0.009511  0.013342 -0.001293
